,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.285,4.494
1,cv_no1,"[116, 384, 292]",34,0.001,0.064
2,cv_no2,"[290, 328, 147]",34,0.634,5.48
3,cv_no3,"[160, 317, 161]",34,0.541,5.715
4,cv_no4,"[305, 326, 222]",34,0.037,1.4709999999999999
5,cv_no5,"[127, 368, 17]",34,0.715,4.83
6,cv_no6,"[24, 349, 184]",34,0.358,2.69
7,cv_no7,"[178, 353, 179]",34,0.308,3.2630000000000003
8,cv_no8,"[272, 386, 335]",34,0.035,0.42999999999999994
9,cv_no9,"[297, 390, 224]",34,0.242,2.356
10,cv_no10,"[16, 320, 120]",34,0.733,4.595
11,cv_no11,"[168, 350, 169]",34,0.028,2.6439999999999997
12,cv_no12,"[129, 319, 130]",34,1.003,6.619000000000001
13,cv_no13,"[188, 351, 189]",34,0.384,2.316
14,cv_no14,"[283, 306, 46]",34,0.079,0.7829999999999999
15,cv_no15,"[194, 354, 195]",34,0.165,1.228
16,cv_no16,"[293, 325, 236]",34,0.608,4.076
17,cv_no17,"[192, 355, 193]",34,0.229,0.769
18,cv_no18,"[44, 394, 284]",34,0.015,0.18700000000000006
19,cv_no19,"[218, 404, 252]",34,0.006,3.351
20,cv_no20,"[303, 362, 176]",34,0.284,3.234
21,cv_no21,"[247, 300, 251]",34,0.259,5.5489999999999995
22,cv_no22,"[304, 364, 182]",34,0.293,2.4840000000000004
23,cv_no23,"[181, 365, 304]",34,0.288,2.59
24,cv_no24,"[243, 298, 234]",34,0.607,3.915
25,cv_no25,"[319, 347, 246]",34,0.886,5.946
26,cv_no26,"[31, 372, 1]",34,0.153,1.006
27,cv_no27,"[23, 361, 303]",34,0.28,3.3449999999999998
28,cv_no28,"[241, 262, 227]",34,1.107,7.9430000000000005
29,cv_no29,"[146, 333, 290]",34,0.903,6.748000000000001
30,cv_no30,"[249, 384, 366]",34,0.003,0.21700000000000003
31,cv_no31,"[320, 323, 234]",34,0.636,4.048
32,cv_no32,"[167, 308, 22]",34,2.87,28.871000000000002
33,cv_no33,"[37, 313, 36]",34,0.017,0.4730000000000001
34,cv_no34,"[378, 379, 170]",34,0.303,4.664
35,cv_no35,"[244, 348, 324]",34,0.666,4.513
36,cv_no36,"[235, 363, 318]",34,0.005,0.35600000000000004
37,cv_no37,"[228, 250, 247]",34,0.043,3.519
38,cv_no38,"[131, 332, 132]",34,1.224,8.187
39,cv_no39,"[242, 332, 291]",34,1.011,6.869
40,cv_no40,"[225, 340, 236]",34,0.625,4.2010000000000005
41,cv_no41,"[244, 395, 257]",34,0.766,5.18
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.289,4.754
44,cv_no44,"[126, 348, 127]",34,0.624,4.268
45,cv_no45,"[163, 321, 296]",34,0.221,2.104
46,cv_no46,"[252, 357, 329]",34,0.127,3.936
47,cv_no47,"[123, 325, 124]",34,0.579,3.878
48,cv_no48,"[245, 250, 228]",34,0.042,3.506
49,cv_no49,"[145, 333, 146]",34,0.926,6.916
50,cv_no50,"[238, 239, 28]",34,0.275,1.831
51,cv_no51,"[229, 341, 217]",34,0.193,2.074
52,cv_no52,"[164, 337, 165]",34,0.665,5.952999999999999
53,cv_no53,"[150, 357, 151]",34,0.109,5.091000000000001
54,cv_no54,"[292, 384, 249]",34,0.001,0.09400000000000001
55,cv_no55,"[190, 356, 191]",34,0.356,2.02
56,cv_no56,"[291, 332, 131]",34,1.171,7.9380000000000015
57,cv_no57,"[159, 334, 21]",34,0.329,8.824000000000002
58,cv_no58,"[275, 386, 221]",34,0.09,1.145
59,cv_no59,"[234, 373, 225]",34,0.539,3.505
60,cv_no60,"[20, 370, 152]",34,0.234,6.377
61,cv_no61,"[250, 309, 247]",34,0.239,5.573999999999999
62,cv_no62,"[162, 321, 163]",34,0.133,1.137
63,cv_no63,"[196, 359, 197]",34,0.421,2.586
64,cv_no64,"[230, 398, 253]",34,0.254,4.02
65,cv_no65,"[313, 363, 235]",34,0.019,0.7090000000000002
66,cv_no66,"[287, 321, 162]",34,0.051,0.8490000000000002
67,cv_no67,"[389, 396, 217]",34,0.085,2.414
68,cv_no68,"[348, 368, 127]",34,0.606,4.197
69,cv_no69,"[130, 319, 291]",34,1.043,7.002000000000001
70,cv_no70,"[198, 360, 199]",34,0.847,5.031000000000001
71,cv_no71,"[261, 334, 245]",34,0.182,5.791
72,cv_no72,"[236, 325, 299]",34,0.608,4.076
73,cv_no73,"[128, 347, 129]",34,0.887,5.934000000000001
74,cv_no74,"[125, 324, 126]",34,0.601,4.0809999999999995
75,cv_no75,"[16, 323, 320]",34,0.841,5.203
76,cv_no76,"[42, 118, 41]",34,0.002,0.025
77,cv_no77,"[40, 41, 119]",34,0.002,0.025
78,cv_no78,"[372, 397, 276]",34,0.359,2.396
79,cv_no79,"[283, 308, 226]",34,0.592,6.574
80,cv_no80,"[246, 347, 257]",34,0.868,5.846
81,cv_no81,"[313, 316, 36]",34,0.009,0.18400000000000005
82,cv_no82,"[165, 307, 166]",34,1.026,9.322
83,cv_no83,"[45, 272, 44]",34,0.027,0.32100000000000006
84,cv_no84,"[285, 374, 336]",34,0.312,1.9540000000000002
85,cv_no85,"[120, 298, 121]",34,0.602,3.881
86,cv_no86,"[225, 243, 234]",34,0.571,3.777
87,cv_no87,"[33, 254, 32]",34,0.286,2.328
88,cv_no88,"[273, 314, 254]",34,0.42,3.738
89,cv_no89,"[156, 309, 157]",34,0.357,6.74
90,cv_no90,"[284, 399, 117]",34,0.006,0.10400000000000002
91,cv_no91,"[287, 398, 232]",34,0.022,0.9590000000000001
92,cv_no92,"[221, 297, 275]",34,0.143,1.541
93,cv_no93,"[217, 316, 315]",34,0.059,1.5350000000000001
94,cv_no94,"[379, 380, 172]",34,0.301,4.813000000000001
95,cv_no95,"[216, 367, 340]",34,0.571,3.894
96,cv_no96,"[148, 295, 149]",34,0.448,5.003
97,cv_no97,"[261, 294, 253]",34,0.354,5.945
98,cv_no98,"[217, 341, 316]",34,0.129,2.185
99,cv_no99,"[139, 383, 273]",34,0.25,2.901
100,cv_no100,"[122, 299, 123]",34,0.577,3.8299999999999996
101,cv_no101,"[284, 394, 335]",34,0.023,0.32800000000000007
102,cv_no102,"[228, 389, 217]",34,0.095,2.3140000000000005
103,cv_no103,"[288, 289, 25]",34,0.287,1.427
104,cv_no104,"[244, 293, 236]",34,0.615,4.14
105,cv_no105,"[246, 395, 219]",34,0.743,5.032
106,cv_no106,"[38, 363, 37]",34,0.005,0.18200000000000005
107,cv_no107,"[227, 262, 242]",34,0.936,6.531000000000001
108,cv_no108,"[224, 322, 237]",34,0.403,3.678
109,cv_no109,"[29, 259, 238]",34,0.391,2.511
110,cv_no110,"[132, 302, 133]",34,1.344,9.205
111,cv_no111,"[154, 300, 155]",34,0.381,6.601000000000001
112,cv_no112,"[32, 397, 31]",34,0.226,1.565
113,cv_no113,"[283, 403, 306]",34,0.305,3.006
114,cv_no114,"[236, 340, 219]",34,0.638,4.315
115,cv_no115,"[45, 306, 272]",34,0.025,0.25
116,cv_no116,"[224, 311, 297]",34,0.121,1.6189999999999998
117,cv_no117,"[228, 315, 245]",34,0.08,2.9570000000000003
118,cv_no118,"[264, 357, 252]",34,0.112,3.683
119,cv_no119,"[30, 372, 233]",34,0.288,1.8760000000000001
120,cv_no120,"[237, 322, 240]",34,0.686,6.366
121,cv_no121,"[219, 367, 242]",34,0.763,5.227
122,cv_no122,"[136, 342, 314]",34,0.551,4.869
123,cv_no123,"[297, 311, 222]",34,0.05,1.0910000000000002
124,cv_no124,"[219, 395, 244]",34,0.715,4.851
125,cv_no125,"[36, 316, 35]",34,0.044,0.8900000000000001
126,cv_no126,"[144, 345, 344]",34,0.875,6.729
127,cv_no127,"[191, 356, 288]",34,0.315,1.7109999999999999
128,cv_no128,"[316, 341, 35]",34,0.038,0.48899999999999993
129,cv_no129,"[161, 317, 287]",34,0.312,4.105
130,cv_no130,"[185, 336, 186]",34,0.331,2.203
131,cv_no131,"[218, 396, 389]",34,0.142,3.019
132,cv_no132,"[262, 302, 242]",34,1.149,8.077
133,cv_no133,"[134, 301, 135]",34,1.808,13.047
134,cv_no134,"[158, 310, 159]",34,0.164,6.215
135,cv_no135,"[236, 299, 243]",34,0.594,3.952
