,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.19,7.220999999999999
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.368,11.073
3,cv_no3,"[160, 317, 161]",34,0.313,10.425
4,cv_no4,"[305, 326, 222]",34,0.013,1.7179999999999995
5,cv_no5,"[127, 368, 17]",34,0.417,11.134999999999998
6,cv_no6,"[24, 349, 184]",34,0.209,5.847
7,cv_no7,"[178, 353, 179]",34,0.193,6.104999999999999
8,cv_no8,"[272, 386, 335]",34,0.022,0.7550000000000002
9,cv_no9,"[297, 390, 224]",34,0.148,4.545999999999999
10,cv_no10,"[16, 320, 120]",34,0.406,10.808
11,cv_no11,"[168, 350, 169]",34,0.003,2.789999999999999
12,cv_no12,"[129, 319, 130]",34,0.573,15.324000000000002
13,cv_no13,"[188, 351, 189]",34,0.214,5.589000000000001
14,cv_no14,"[283, 306, 46]",34,0.047,1.4829999999999999
15,cv_no15,"[194, 354, 195]",34,0.089,2.5870000000000006
16,cv_no16,"[293, 325, 236]",34,0.349,9.368
17,cv_no17,"[192, 355, 193]",34,0.122,2.676
18,cv_no18,"[44, 394, 284]",34,0.009,0.3220000000000002
19,cv_no19,"[218, 404, 252]",34,0.014,3.476999999999999
20,cv_no20,"[303, 362, 176]",34,0.175,5.81
21,cv_no21,"[247, 300, 251]",34,0.16,7.872999999999998
22,cv_no22,"[304, 364, 182]",34,0.176,5.106000000000001
23,cv_no23,"[181, 365, 304]",34,0.175,5.201
24,cv_no24,"[243, 298, 234]",34,0.342,9.125
25,cv_no25,"[319, 347, 246]",34,0.51,13.677
26,cv_no26,"[31, 372, 1]",34,0.086,2.318
27,cv_no27,"[23, 361, 303]",34,0.174,5.901000000000001
28,cv_no28,"[241, 262, 227]",34,0.647,17.703999999999997
29,cv_no29,"[146, 333, 290]",34,0.529,14.748000000000003
30,cv_no30,"[249, 384, 366]",34,0.003,0.25700000000000006
31,cv_no31,"[320, 323, 234]",34,0.355,9.466000000000001
32,cv_no32,"[167, 308, 22]",34,1.687,54.21
33,cv_no33,"[37, 313, 36]",34,0.007,0.6000000000000002
34,cv_no34,"[378, 379, 170]",34,0.184,7.373999999999999
35,cv_no35,"[244, 348, 324]",34,0.384,10.33
36,cv_no36,"[235, 363, 318]",34,0.0,0.37600000000000006
37,cv_no37,"[228, 250, 247]",34,0.039,4.0089999999999995
38,cv_no38,"[131, 332, 132]",34,0.701,18.823
39,cv_no39,"[242, 332, 291]",34,0.582,15.695
40,cv_no40,"[225, 340, 236]",34,0.358,9.630999999999998
41,cv_no41,"[244, 395, 257]",34,0.441,11.871
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.155,7.1979999999999995
44,cv_no44,"[126, 348, 127]",34,0.361,9.74
45,cv_no45,"[163, 321, 296]",34,0.137,4.124
46,cv_no46,"[252, 357, 329]",34,0.059,4.935000000000002
47,cv_no47,"[123, 325, 124]",34,0.332,8.921000000000001
48,cv_no48,"[245, 250, 228]",34,0.039,3.988
49,cv_no49,"[145, 333, 146]",34,0.543,15.12
50,cv_no50,"[238, 239, 28]",34,0.151,4.141
51,cv_no51,"[229, 341, 217]",34,0.11,3.7569999999999997
52,cv_no52,"[164, 337, 165]",34,0.402,11.924999999999999
53,cv_no53,"[150, 357, 151]",34,0.035,5.801000000000002
54,cv_no54,"[292, 384, 249]",34,0.001,0.11300000000000003
55,cv_no55,"[190, 356, 191]",34,0.196,5.031000000000001
56,cv_no56,"[291, 332, 131]",34,0.673,18.145000000000003
57,cv_no57,"[159, 334, 21]",34,0.16,11.432
58,cv_no58,"[275, 386, 221]",34,0.057,1.9809999999999999
59,cv_no59,"[234, 373, 225]",34,0.303,8.126
60,cv_no60,"[20, 370, 152]",34,0.164,8.671999999999999
61,cv_no61,"[250, 309, 247]",34,0.152,7.761999999999999
62,cv_no62,"[162, 321, 163]",34,0.083,2.3620000000000005
63,cv_no63,"[196, 359, 197]",34,0.226,6.0569999999999995
64,cv_no64,"[230, 398, 253]",34,0.136,6.131000000000001
65,cv_no65,"[313, 363, 235]",34,0.007,0.8370000000000003
66,cv_no66,"[287, 321, 162]",34,0.038,1.3780000000000003
67,cv_no67,"[389, 396, 217]",34,0.042,3.1069999999999998
68,cv_no68,"[348, 368, 127]",34,0.353,9.539
69,cv_no69,"[130, 319, 291]",34,0.599,16.083
